44;44;44;44;44;04;01;22;21;00;20;13;13;13;13;13;13;19;00;22;21;01;22;44;44;44;44;44;44;44;44;44;44;21;01;22;21;00;20;13;13;13;13;13;13;19;00;22;21;01;03;44;44;44;44;44
43;11;11;11;11;23;01;24;23;00;24;18;18;32;31;18;18;23;00;24;23;01;24;18;18;18;18;19;20;18;18;18;18;23;01;24;23;00;24;18;18;32;31;18;18;23;00;24;23;01;24;11;11;11;11;42
04;01;01;01;01;01;01;01;01;01;01;01;01;22;21;01;01;01;01;01;01;01;01;01;01;01;01;22;21;01;01;01;01;01;01;01;01;01;01;01;01;22;21;01;01;01;01;01;01;01;01;01;01;01;01;03
04;01;20;13;13;19;01;20;13;13;13;19;01;22;21;01;20;13;13;13;19;01;20;13;13;19;01;22;21;01;20;13;13;19;01;20;13;13;13;19;01;22;21;01;20;13;13;13;19;01;20;13;13;19;01;03
04;01;24;18;32;21;01;24;18;18;18;23;01;24;23;01;24;18;18;18;23;01;22;31;18;23;01;22;21;01;24;18;32;21;01;24;18;18;18;23;01;24;23;01;24;18;18;18;23;01;22;31;18;23;01;03
04;02;01;01;22;21;01;01;01;01;01;01;01;00;00;01;01;01;01;01;01;01;22;21;01;01;02;22;21;02;01;01;22;21;01;01;01;01;01;01;01;00;00;01;01;01;01;01;01;01;22;21;01;01;02;03
08;13;19;01;22;21;01;20;19;01;20;13;13;13;13;13;13;19;01;20;19;01;22;21;01;20;13;34;33;13;19;01;22;21;01;20;19;01;20;13;13;13;13;13;13;19;01;20;19;01;22;21;01;20;13;07
10;18;23;01;24;23;01;22;21;01;24;18;18;32;31;18;18;23;01;22;21;01;24;23;01;24;18;32;31;18;23;01;24;23;01;22;21;01;24;18;18;32;31;18;18;23;01;22;21;01;24;23;01;24;18;09
04;01;01;01;01;01;01;22;21;01;01;01;01;22;21;01;01;01;01;22;21;01;01;01;01;01;01;22;21;01;01;01;01;01;01;22;21;01;01;01;01;22;21;01;01;01;01;22;21;01;01;01;01;01;01;03
04;01;20;13;13;13;13;34;33;13;13;19;01;22;21;01;20;13;13;34;33;13;13;13;13;19;01;22;21;01;20;13;13;13;13;34;33;13;13;19;01;22;21;01;20;13;13;34;33;13;13;13;13;19;01;03
04;01;24;18;18;18;18;18;18;18;18;23;01;24;23;01;24;18;18;18;18;18;18;18;18;23;01;22;21;01;24;18;18;18;18;18;18;18;18;23;01;24;23;01;24;18;18;18;18;18;18;18;18;23;01;03
04;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;22;21;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;01;03
06;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;46;45;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;05
